"task_id","public_task_name","task_family","tested_capability","input_type","output_type","prompt_chars","prompt_lines","approx_prompt_tokens","asset_count","has_image_input","expected_artifact_type","repair_eligible","browser_audited","vision_task","validator_type","validator_path","source_provenance","design_complexity","observed_difficulty","separator_task_flag","notes"
"repo_001_cli_json_format","Repository edit task: Update the CLI implementation.","repo","single-feature CLI change","text","code or patch","548","14","137","2","False","source code","True","False","False","automated test command","python tests/test_cli.py","custom_synthetic_repo_edit_task","simple","easy","true","Not imported from SWE-bench, Aider benchmarks, or a real private repository. The starter repository, prompt, and unit tests are project-specific synthetic materials."
"repo_002_fix_pagination","Repository edit task: Fix the pagination helper.","repo","bug fix with edge cases","text","code or patch","501","12","126","2","False","source code","True","False","False","automated test command","python tests/test_pagination.py","custom_synthetic_repo_edit_task","simple","easy","false","Not imported from SWE-bench, Aider benchmarks, or a real private repository. The starter repository, prompt, and unit tests are project-specific synthetic materials."
"repo_003_fix_cache_key","Repository edit task: Fix the caching bug in `get_user_orders`.","repo","cache-key bug fix","text","code or patch","476","10","119","2","False","source code","True","False","False","automated test command","python tests/test_cache.py","custom_synthetic_repo_edit_task","simple","easy","false","Not imported from SWE-bench, Aider benchmarks, or a real private repository. The starter repository, prompt, and unit tests are project-specific synthetic materials."
"repo_004_add_config_option","Repository edit task: Add support for a new timeout configuration option.","repo","cross-file config propagation","text","code or patch","623","13","156","3","False","source code","True","False","False","automated test command","python tests/test_config.py","custom_synthetic_repo_edit_task","medium","easy","true","Not imported from SWE-bench, Aider benchmarks, or a real private repository. The starter repository, prompt, and unit tests are project-specific synthetic materials."
"repo_005_fix_auth_permission_bug","Repository edit task: Fix the permission check.","repo","authorization logic bug","text","code or patch","485","11","122","2","False","source code","True","False","False","automated test command","python tests/test_permissions.py","custom_synthetic_repo_edit_task","medium","easy","true","Not imported from SWE-bench, Aider benchmarks, or a real private repository. The starter repository, prompt, and unit tests are project-specific synthetic materials."
"repo_006_refactor_without_api_change","Repository edit task: Fix and clean up `normalize_event`.","repo","behavior-preserving refactor","text","code or patch","740","15","185","2","False","source code","True","False","False","automated test command","python tests/test_normalizer.py","custom_synthetic_repo_edit_task","medium","separator","true","Not imported from SWE-bench, Aider benchmarks, or a real private repository. The starter repository, prompt, and unit tests are project-specific synthetic materials."
"repo_007_long_context_checkout_totals","Repository edit task: Fix the checkout total calculation bug in this repository.","repo","long-context repo repair","text","code or patch","1036","12","259","14","False","source code","True","False","False","automated test command","python tests/test_checkout_totals.py","custom_synthetic_repo_edit_task","hard","separator","true","Not imported from SWE-bench, Aider benchmarks, or a real private repository. This long-context task includes synthetic distractor documents to test retrieval and instruction following."
"repo_008_long_context_policy_resolution","Repository edit task: Fix the refund policy implementation.","repo","long-context policy conflict","text","code or patch","379","5","95","129","False","source code","True","False","False","automated test command","python tests/test_refund_policy.py","custom_synthetic_repo_edit_task","hard","separator","true","Not imported from SWE-bench, Aider benchmarks, or a real private repository. This long-context task includes synthetic distractor documents to test retrieval and instruction following."
"repo_009_cross_file_config_flag","Repository edit task: Fix the checkout configuration flag behavior.","repo","cross-file flag behavior","text","code or patch","637","12","160","8","False","source code","True","False","False","automated test command","python tests/test_config_flag.py","custom_synthetic_repo_edit_task","medium","easy","true","Not imported from SWE-bench, Aider benchmarks, or a real private repository. The starter repository, prompt, and unit tests are project-specific synthetic materials."
"vision_001_menu_grid_desktop","Vision extraction task: Look at the fast-food ordering screenshot and extract the visible UI information.","vision","desktop menu extraction","text","structured extraction","437","15","110","2","False","structured data","False","False","False","automated test command","python tests/test_answer.py","custom_synthetic_vision_extraction_task","simple","insufficient_data","insufficient_data","Not copied from a real ordering site, OCR benchmark, VQA benchmark, or public UI dataset. It measures structured extraction from synthetic product UI screenshots."
"vision_002_menu_grid_mobile","Vision extraction task: Look at the mobile fast-food ordering screenshot and extract the visible UI information.","vision","mobile menu extraction","text","structured extraction","473","16","119","2","False","structured data","False","False","False","automated test command","python tests/test_answer.py","custom_synthetic_vision_extraction_task","simple","insufficient_data","insufficient_data","Not copied from a real ordering site, OCR benchmark, VQA benchmark, or public UI dataset. It measures structured extraction from synthetic product UI screenshots."
"vision_003_customize_burger","Vision extraction task: Look at the burger customization screenshot and extract the selected configuration.","vision","customization extraction","text","structured extraction","411","15","103","2","False","structured data","False","False","False","automated test command","python tests/test_answer.py","custom_synthetic_vision_extraction_task","medium","insufficient_data","insufficient_data","Not copied from a real ordering site, OCR benchmark, VQA benchmark, or public UI dataset. It measures structured extraction from synthetic product UI screenshots."
"vision_004_customize_bowl","Vision extraction task: Look at the bowl customization screenshot and extract the selected configuration.","vision","customization extraction","text","structured extraction","453","17","114","2","False","structured data","False","False","False","automated test command","python tests/test_answer.py","custom_synthetic_vision_extraction_task","medium","insufficient_data","insufficient_data","Not copied from a real ordering site, OCR benchmark, VQA benchmark, or public UI dataset. It measures structured extraction from synthetic product UI screenshots."
"vision_005_cart_checkout","Vision extraction task: Look at the checkout/cart screenshot and extract the visible order information.","vision","cart and checkout extraction","text","structured extraction","610","20","153","2","False","structured data","False","False","False","automated test command","python tests/test_answer.py","custom_synthetic_vision_extraction_task","medium","insufficient_data","insufficient_data","Not copied from a real ordering site, OCR benchmark, VQA benchmark, or public UI dataset. It measures structured extraction from synthetic product UI screenshots."
"vision_006_empty_error_state","Vision extraction task: Look at the mobile empty cart and delivery error screenshot.","vision","empty/error state extraction","text","structured extraction","432","15","108","2","False","structured data","False","False","False","automated test command","python tests/test_answer.py","custom_synthetic_vision_extraction_task","simple","insufficient_data","insufficient_data","Not copied from a real ordering site, OCR benchmark, VQA benchmark, or public UI dataset. It measures structured extraction from synthetic product UI screenshots."
"web_001_order_dashboard","Web UI generation task: Create a static web dashboard for a fictional fast-food ordering system.","web","single-page dashboard","text","browser-openable artifact","945","30","237","3","False","browser-openable artifact","True","True","False","automated test command","python tests/test_web.py","custom_synthetic_web_generation_task","medium","separator","true","Not copied from WebArena, MiniWoB, a real restaurant site, or a public frontend benchmark. The domain is common, but the spec, test ids, and validators are project-specific."
"web_002_checkout_form","Web UI generation task: Create a static checkout page for a fictional fast-food ordering site.","web","form state and totals","text","browser-openable artifact","1055","33","264","3","False","browser-openable artifact","True","True","False","automated test command","python tests/test_web.py","custom_synthetic_web_generation_task","medium","separator","true","Not copied from WebArena, MiniWoB, a real restaurant site, or a public frontend benchmark. The domain is common, but the spec, test ids, and validators are project-specific."
"web_003_multi_page_ordering_site","Web UI generation task: Create a static multi-page fast-food ordering website for a fictional brand named `BurgerTown`.","web","multi-page cart flow","text","browser-openable artifact","2330","67","583","6","False","browser-openable artifact","True","True","False","automated test command","python tests/test_web.py","custom_synthetic_web_generation_task","hard","hard","true","Not copied from WebArena, MiniWoB, a real restaurant site, or a public frontend benchmark. The domain is common, but the spec, test ids, and validators are project-specific."
"web_004_kitchen_admin_dashboard","Web UI generation task: Create a static kitchen operations dashboard for a fictional fast-food chain named `BurgerTown Kitchen`.","web","dense operational dashboard","text","browser-openable artifact","1474","43","369","3","False","browser-openable artifact","True","True","False","automated test command","python tests/test_web.py","custom_synthetic_web_generation_task","hard","separator","true","Not copied from WebArena, MiniWoB, a real restaurant site, or a public frontend benchmark. The domain is common, but the spec, test ids, and validators are project-specific."
"web_005_vision_checkout_recreation","Screenshot-to-web task: BurgerTown checkout recreation","web","vision-to-frontend recreation","image + text","browser-openable artifact","1525","42","382","4","True","browser-openable artifact","False","True","True","automated test command","python tests/test_web.py","custom_synthetic_vision_to_frontend_task","hard","insufficient_data","insufficient_data","Not copied from a real fast-food ordering site or a public UI benchmark. It tests practical screenshot-to-frontend behavior on a fictional UI."
