"public_task_name","display_model","model_id","context","run_kind","round","evidence_id","screenshot_to_web_result","source_leaderboard_score","source_score_scope","source_note"
"screenshot-to-web task","Qwen3VL-8B-Instruct Q4_K_M","qwen3vl-8b-instruct-q4km","256K","repeat_n3","1","vtw_011","0/0/0","0/1/1","screenshot-to-web result for repeat rows; may be a parent vision aggregate for one-off legacy rows","Vision extraction n=3 stability run plus screenshot-to-web repeat check."
"screenshot-to-web task","Qwen3VL-8B-Instruct Q4_K_M","qwen3vl-8b-instruct-q4km","256K","repeat_n3","2","vtw_012","0/0/0","0/1/1","screenshot-to-web result for repeat rows; may be a parent vision aggregate for one-off legacy rows","Vision extraction n=3 stability run plus screenshot-to-web repeat check."
"screenshot-to-web task","Qwen3VL-8B-Instruct Q4_K_M","qwen3vl-8b-instruct-q4km","256K","repeat_n3","3","vtw_013","0/0/0","0/1/1","screenshot-to-web result for repeat rows; may be a parent vision aggregate for one-off legacy rows","Vision extraction n=3 stability run plus screenshot-to-web repeat check."
"screenshot-to-web task","Qwen3.6-35B-A3B + mmproj","qwen36-35b-a3b-iq4xs","256K","repeat_n3","1","vtw_014","0/0/0","0/1/1","screenshot-to-web result for repeat rows; may be a parent vision aggregate for one-off legacy rows","Vision extraction n=3 stability run plus screenshot-to-web repeat check. The GGUF source is the canonical Qwen3.6 model with the local mmproj attachment."
"screenshot-to-web task","Qwen3.6-35B-A3B + mmproj","qwen36-35b-a3b-iq4xs","256K","repeat_n3","2","vtw_015","0/0/0","0/1/1","screenshot-to-web result for repeat rows; may be a parent vision aggregate for one-off legacy rows","Vision extraction n=3 stability run plus screenshot-to-web repeat check. The GGUF source is the canonical Qwen3.6 model with the local mmproj attachment."
"screenshot-to-web task","Qwen3.6-35B-A3B + mmproj","qwen36-35b-a3b-iq4xs","256K","repeat_n3","3","vtw_016","0/0/0","0/1/1","screenshot-to-web result for repeat rows; may be a parent vision aggregate for one-off legacy rows","Vision extraction n=3 stability run plus screenshot-to-web repeat check. The GGUF source is the canonical Qwen3.6 model with the local mmproj attachment."
"screenshot-to-web task","Qwen3-Omni-30B-A3B Q4_K_M","qwen3-omni-30b-a3b-q4km","64K","repeat_n3","1","vtw_017","0/0/0","0/1/1","screenshot-to-web result for repeat rows; may be a parent vision aggregate for one-off legacy rows","Vision extraction n=3 stability run plus screenshot-to-web repeat check."
"screenshot-to-web task","Qwen3-Omni-30B-A3B Q4_K_M","qwen3-omni-30b-a3b-q4km","64K","repeat_n3","2","vtw_018","0/0/0","0/1/1","screenshot-to-web result for repeat rows; may be a parent vision aggregate for one-off legacy rows","Vision extraction n=3 stability run plus screenshot-to-web repeat check."
"screenshot-to-web task","Qwen3-Omni-30B-A3B Q4_K_M","qwen3-omni-30b-a3b-q4km","64K","repeat_n3","3","vtw_019","0/0/0","0/1/1","screenshot-to-web result for repeat rows; may be a parent vision aggregate for one-off legacy rows","Vision extraction n=3 stability run plus screenshot-to-web repeat check."
"screenshot-to-web task","Gemma4-31B Vision Q4_K_XL","gemma4-31b-it-qat-q4kxl","32K","repeat_n3","1","vtw_020","0/0/0","0/1/1","screenshot-to-web result for repeat rows; may be a parent vision aggregate for one-off legacy rows","Vision extraction n=3 stability run plus screenshot-to-web repeat check."
"screenshot-to-web task","Gemma4-31B Vision Q4_K_XL","gemma4-31b-it-qat-q4kxl","32K","repeat_n3","2","vtw_021","0/0/0","0/1/1","screenshot-to-web result for repeat rows; may be a parent vision aggregate for one-off legacy rows","Vision extraction n=3 stability run plus screenshot-to-web repeat check."
"screenshot-to-web task","Gemma4-31B Vision Q4_K_XL","gemma4-31b-it-qat-q4kxl","32K","repeat_n3","3","vtw_022","0/0/0","0/1/1","screenshot-to-web result for repeat rows; may be a parent vision aggregate for one-off legacy rows","Vision extraction n=3 stability run plus screenshot-to-web repeat check."
"screenshot-to-web task","Phi-4-Multimodal Q4_K_M","phi4-multimodal-q4km","32K","repeat_n3","1","vtw_023","0/0/0","0/1/1","screenshot-to-web result for repeat rows; may be a parent vision aggregate for one-off legacy rows","Vision extraction n=3 stability run plus screenshot-to-web repeat check."
"screenshot-to-web task","Phi-4-Multimodal Q4_K_M","phi4-multimodal-q4km","32K","repeat_n3","2","vtw_024","0/0/0","0/1/1","screenshot-to-web result for repeat rows; may be a parent vision aggregate for one-off legacy rows","Vision extraction n=3 stability run plus screenshot-to-web repeat check."
"screenshot-to-web task","Phi-4-Multimodal Q4_K_M","phi4-multimodal-q4km","32K","repeat_n3","3","vtw_025","0/0/0","0/1/1","screenshot-to-web result for repeat rows; may be a parent vision aggregate for one-off legacy rows","Vision extraction n=3 stability run plus screenshot-to-web repeat check."
